address,name,account_type,type
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,eoa,Exchange
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,eoa,Exchange
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,eoa,Exchange
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,eoa,Exchange
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9,eoa,Exchange
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,eoa,Exchange
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,eoa,Exchange
0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,eoa,Exchange
0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,eoa,Exchange
0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee,eoa,Exchange
0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,eoa,Exchange
0x7a91a362d4f2c9c4627688d5b7090bbb12e5715f,Bitci,eoa,Exchange
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,eoa,Exchange
0x7217d64f77041ce320c356d1a2185bcb89798a0a,Bitexlive,eoa,Exchange
0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive,eoa,Exchange
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,eoa,Exchange
0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,eoa,Exchange
0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,eoa,Exchange
0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,eoa,Exchange
0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex 13,eoa,Exchange
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,eoa,Exchange
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,eoa,Exchange
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,eoa,Exchange
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,eoa,Exchange
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,eoa,Exchange
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,eoa,Exchange
0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,eoa,Exchange
0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,eoa,Exchange
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,eoa,Exchange
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,eoa,Exchange
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,eoa,Exchange
0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,eoa,Exchange
0xdf5021a4c1401f1125cd347e394d977630e17cf7,BITFRONT,eoa,Exchange
0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,eoa,Exchange
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,eoa,Exchange
0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11,eoa,Exchange
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,eoa,Exchange
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,eoa,Exchange
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,eoa,Exchange
